Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.25,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,1.0,1.6,0.0,0.0,5.0,0.08,15.75,0.571,0.222,2.25,2.778,0.36,3.111,0.375,1.905,0.925,0.919,1.529,1.115,0.845,1.429,0.8,1.179,0.409,2.333,0.476,2.2,1.273,1.226,0.699,1.556,0.607,2.529,0.727,0.888,2.09,0.707,0.817,1.754,0.809,1.737,0.509,1.018,1.257,1.186,1.447,0.772,0.968,0.953,1.57,1.002,0.843,0.751,1.557,1.424,0.847,1.079,1.017,1.448,0.747,1.012,1.113,0.95,0.928,1.074,1.39,0.785,0.801,1.393,0.999,1.038,1.163,0.636,1.359,0.727,0.943,1.26
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,5.5,0.909,0.5,0.8,2.25,0.444,1.0,1.25,1.2,1.0,2.167,1.154,1.267,1.211,1.217,0.429,0.917,1.364,0.733,1.818,0.8,1.125,1.5,1.074,0.966,0.571,0.375,2.833,0.529,0.778,2.429,0.765,1.615,0.381,2.375,1.263,0.875,0.429,1.556,1.571,1.136,1.0,1.16,0.517,2.267,0.412,0.714,1.4,1.143,0.438,1.286,0.778,0.857,1.333,2.125,0.706,0.833,0.8,0.75,2.0,0.333,1.0,1.0,4.5,1.0,0.944,0.765,0.154,0.5,15.0,0.333,2.4,0.667,1.125,0.667,4.167,0.84,1.238,0.885,1.0,0.652,0.4,3.5,0.952,0.65,1.154,1.333,0.7,1.214,2.118,1.167
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,5.5,1.0,0.545,1.0,2.333,0.929,0.231,16.333,1.265,0.468,1.172,1.118,1.711,0.646,1.071,1.267,1.281,1.808,0.992,1.061,1.331,0.432,0.863,1.493,0.437,2.311,0.904,1.011,0.674,1.391,0.775,1.261,1.034,1.2,1.389,0.773,0.819,0.937,1.045,1.065,0.98,1.237,1.075,0.977,1.071,0.978,1.508,0.794,0.937,0.953,1.27,0.972,1.092,0.837,1.164,1.011,1.011,0.873,1.018,1.048,1.057,1.016,0.989,1.027,1.031,0.919,0.967,0.938,1.127,1.022,1.026,0.99,1.021,0.985,0.825,0.875,0.979,0.971,0.955,0.937,0.95,0.947,0.916,1.061,1.106,0.904,1.067,1.054,0.872
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.571,0.591,1.923,0.8,1.55,0.774,1.5,1.194,0.953,0.634,1.385,0.167,2.333,2.714,0.289,2.455,1.296,0.686,0.833,0.95,1.0,0.947,0.0,0.0,0.216,1.625,1.077,0.0,0.0,0.348,1.125,0.444,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.089,0.143,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.5,8.0,0.125,0.0,0.0,3.0,2.333,0.429,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.333,4.0,4.25
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.667,0.0,0.0,0.4,0.0,0.0,0.25,3.667,1.0,1.091,0.917,1.636,1.722,0.968,3.6,0.324,2.457,0.0,0.0,0.757,1.161,0.545,1.364,3.12,0.0,0.0,1.671,1.409,0.0,0.0,0.718,1.176,0.92,2.25,0.0,0.0,0.395,1.045,2.406,0.771,0.766,0.908,0.91,1.259,0.882,1.256,2.575,0.591,1.006,0.647,0.991,1.117,1.274,0.905,0.727,1.433,0.685,1.02,1.279,1.414,0.867,1.472,0.688,1.564,0.946,1.168,1.109,0.807,1.353,0.945,0.807,1.152,1.446,1.082,1.367,1.108,0.981,1.027,0.763,1.087,1.175,1.091,0.932,1.109,0.801,0.885,1.603,1.05,0.979,0.904,1.17,0.787,1.067,1.381,1.074
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,2.5,0.8,3.25,1.0,0.231,5.167,0.677,1.143,1.417,1.206,0.341,1.143,1.562,1.56,2.0,0.218,3.412,0.862,0.78,2.359,0.793,0.466,1.529,0.212,1.818,1.4,1.429,0.4,1.875,1.533,0.565,1.077,1.571,1.091,0.875,1.119,0.915,1.116,1.292,1.161,0.694,1.46,1.11,0.852,0.899,0.952,1.102,2.062,0.612,1.524,0.904,1.071,0.926,1.455,0.626,1.422,1.007,0.945,0.572,1.848,1.233,0.789,1.296,1.299,0.791,1.857,0.621,1.055,1.457,0.961,1.161,0.96,1.259,0.639,1.287,1.188,1.041,0.546,1.414,0.592,2.462,0.996,1.353,0.855,0.918,1.4,0.255,1.795,1.223
Australia,0.0,0.0,0.0,0.25,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.5,3.0,1.444,0.231,1.667,0.6,4.333,1.154,1.067,1.312,0.0,0.0,0.694,0.94,1.702,0.938,1.547,0.974,0.973,2.545,1.707,0.278,2.722,0.884,1.394,0.747,1.492,0.692,1.096,0.525,1.53,0.838,0.843,1.028,0.623,0.803,0.891,1.173,0.852,1.092,0.822,0.136,3.0,1.778,0.391,0.88,2.727,0.767,0.913,0.31,1.692,0.318,1.429,1.5,1.133,1.176,0.35,3.286,0.348,1.75,0.857,1.75,1.095,1.087,1.12,0.679,1.0,0.263,4.2,0.429,2.444,0.455,0.9,3.333,0.533,0.562,1.111,1.4,0.286,2.25,1.556,0.286,3.75,0.0,0.0,1.083,0.846,1.364,1.267,0.421,1.25,1.9,0.421,1.375,0.636,0.714,1.4,0.857,0.333,3.5,1.571
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.8,0.75,2.667,1.5,1.167,1.714,1.042,1.08,1.889,1.255,0.875,3.607,0.748,1.358,0.771,1.987,1.0,1.169,1.022,1.136,1.803,1.161,0.907,0.377,4.331,0.566,0.821,0.842,1.605,0.677,0.945,0.787,0.945,0.651,1.051,0.911,1.39,0.886,0.997,1.03,0.807,0.554,0.691,1.927,0.595,1.273,0.85,0.639,1.026,0.59,1.696,0.667,1.481,0.896,1.116,1.0,0.636,1.694,0.542,1.111,1.58,0.342,1.444,0.615,1.208,1.172,2.0,0.324,2.682,0.644,0.289,7.182,0.456,1.694,0.836,1.804,0.446,0.659,1.926,0.615,1.594,0.627,1.562,0.34,2.118,0.5,1.889,1.088,0.73,1.111,1.533,0.043,13.0,0.462,2.833,1.118,1.447,0.073,16.5,0.167,2.364
