Country,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35,0.35,0.35,0.35,0.17143,0.02857,0.0,0.0,0.042,0.18486,0.41343,0.41343,0.41343,1.12771,1.09714,3.20429,3.05729,3.089,3.41043,3.093,3.133,1.32743,1.29943,1.53986,1.35057,1.085,1.252,0.96686,1.034,0.966,0.94814,0.98529,0.82529,0.99929,0.94657,1.05671,1.12429,1.131,1.17243,1.06143,1.08014,1.12714,1.04914,1.00086,1.19957,1.07829,1.10829,0.99757,1.00929,1.13057,0.90471,0.94914,1.012,0.93086,1.022,0.88414,0.94971,0.94043,0.98514,0.95886,0.87257,0.86957,0.95371,1.021,0.91771,0.92871,0.95357,1.05314,0.93743,0.87857,0.91657,0.89814,0.88543,0.832,0.92386,0.89143,0.84686,0.91014,0.92029,0.91514,0.88271,0.86143,0.94114,0.846,0.838,-1.0,-1.0,-1.0
Albania,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.45843,1.48614,0.84329,0.892,0.992,1.02057,1.00871,1.11014,1.14829,1.14271,1.14514,1.06357,0.885,0.915,0.83871,0.92543,0.86586,0.96529,1.04857,1.00714,1.04043,0.86229,0.80157,1.04557,0.90686,0.86457,1.07357,1.10129,1.27843,0.92814,1.19186,1.26114,1.03914,0.99114,0.98271,1.15271,0.97571,0.93814,0.97886,0.99143,1.093,0.92743,0.86714,0.92429,0.92186,0.91057,0.77043,0.82271,0.84314,0.83357,0.97386,1.01214,0.94743,0.95057,0.93529,1.03057,0.77457,0.81657,0.84043,1.369,1.40471,1.25386,1.31557,1.19471,1.12329,2.62329,2.528,2.736,2.722,2.86071,2.88457,1.337,1.40943,1.24343,1.27457,1.25671,1.25457,0.71643,1.09643,1.05557,1.022,1.044,1.14129,1.18414,0.85757,1.02414,-1.0,-1.0,-1.0
Algeria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.57143,0.07143,0.07143,0.07143,0.14286,0.92857,1.0,1.07786,1.22071,1.554,1.61529,0.86257,3.053,3.15586,3.07986,2.914,2.941,3.15243,0.91143,0.88371,0.99786,1.01343,1.112,1.00929,1.06857,1.10571,0.98643,0.92671,0.88171,0.80243,0.981,0.92,1.00271,0.97571,0.96114,1.00943,0.85943,0.878,0.905,1.00714,0.91886,0.92514,0.87886,0.88043,0.86114,0.80271,0.869,0.90557,0.91129,0.915,0.90257,0.978,0.91471,0.895,0.89157,0.92,0.91914,0.85971,0.86586,0.89829,0.90657,0.86957,0.85543,0.84486,0.875,0.85971,0.86043,0.85729,0.87929,0.88114,0.86271,0.84986,0.83871,0.85843,0.85771,0.857,0.86714,0.87486,0.88157,0.83843,0.81743,0.81071,0.808,0.79857,0.79171,0.80957,0.81986,0.81086,0.82371,0.84529,0.84057,0.85729,0.87257,-1.0,-1.0,-1.0
Andorra,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.69786,0.91929,1.02986,1.01971,1.10586,0.96729,0.94357,0.92,0.83329,0.95229,1.16943,1.07457,1.33471,1.322,1.39614,1.18186,0.92986,1.03143,0.816,0.63086,0.53286,0.44471,0.54114,0.55214,0.41686,0.41686,0.46657,0.59643,0.42771,0.27386,0.27386,0.27386,0.22414,0.18843,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.07143,0.35714,0.42857,0.42857,0.42857,0.42857,0.35714,0.14286,0.07143,0.07143,0.16671,0.23814,0.23814,0.16671,0.16671,0.16671,0.07143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28571,11.29843,11.31886,11.31886,11.31886,11.31886,0.03314,0.02043,-1.0,-1.0,-1.0
Angola,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.28571,0.28571,0.28571,0.28571,0.28571,0.28571,0.0,0.28571,0.35714,0.42857,0.71429,0.71429,0.71429,0.42857,0.35714,0.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14286,0.14286,0.14286,0.14286,0.14286,0.381,0.23814,0.23814,0.23814,0.23814,0.23814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14286,0.14286,0.14286,0.19043,0.26186,1.40471,1.27971,1.27971,1.27971,1.66071,1.92257,0.841,0.91843,0.91843,0.91843,0.48986,0.15657,0.09529,0.0,0.21429,0.26186,0.83329,-1.0,-1.0,-1.0
Antigua and Barbuda,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
Argentina,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.15243,0.09286,0.61671,0.75957,0.85829,0.98929,1.223,1.43329,1.04771,1.41914,1.30957,1.52957,1.29586,1.04986,1.01971,0.67129,0.70286,0.54671,0.99243,0.99243,0.88429,0.95714,1.08057,0.88571,0.44,0.54257,0.71057,0.60329,0.72343,0.72343,0.72343,0.67729,0.65857,0.87086,0.65957,0.769,0.89871,0.97229,1.00286,0.78514,0.85443,1.11286,1.06757,1.08129,0.99386,1.00943,0.98957,0.80371,0.84857,0.80871,0.921,0.87729,0.86343,0.86414,0.93686,0.95686,0.96243,0.96286,1.04057,0.993,0.95786,0.99243,0.89743,0.99243,0.904,0.88414,0.88186,0.93,0.96929,0.97129,0.99457,1.01943,1.00157,0.904,0.90471,0.87729,0.87486,0.86786,0.87957,0.885,0.85614,0.91729,0.91143,0.91814,0.88886,0.94157,0.92757,0.851,0.89829,-1.0,-1.0,-1.0
Armenia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.84971,1.58929,1.63829,1.37643,1.40586,1.42157,0.84671,0.97314,1.03271,1.116,0.97486,1.41357,1.37343,1.26171,1.37586,1.20343,1.23886,0.96986,0.877,1.02529,0.88829,0.97914,0.96971,1.01914,1.20786,1.02886,0.98271,1.003,1.10171,0.95886,0.89971,0.94971,0.95529,0.91543,0.92543,0.89957,0.94829,0.97614,0.93843,0.88229,0.85243,0.91071,0.99671,0.92557,1.02157,1.02229,1.03929,1.01414,0.92743,0.92943,0.91486,0.92957,0.91157,0.861,0.91714,1.00386,0.91343,0.95471,1.00529,1.03657,1.03786,0.95043,0.98843,1.01143,0.96314,1.016,0.88786,0.979,0.91957,0.89529,0.92771,0.91057,0.85143,0.87357,0.86686,1.03471,1.00729,1.05186,1.096,1.02514,1.14057,0.82529,0.93943,-1.0,-1.0,-1.0
Australia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.42857,0.42857,0.42857,0.0,0.0,0.14286,0.14286,0.14286,0.14286,0.14286,0.14286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857,0.24286,0.67143,0.87771,0.91071,1.14886,1.206,1.61071,1.347,1.29314,1.44757,1.20943,1.12371,0.60386,0.57329,0.664,0.61057,0.83157,0.97071,1.01057,1.23986,1.24057,1.14629,1.31414,1.30129,1.36143,1.10457,1.07386,1.133,0.90071,0.84943,0.86886,0.88186,0.78914,0.83714,0.76957,0.80929,0.718,0.76586,0.76714,0.77629,0.80471,0.70943,1.01071,1.09714,1.03129,1.001,1.27314,1.36329,1.06514,0.85543,1.04129,0.961,0.77557,0.88029,0.91171,1.03543,0.84371,1.26771,1.11329,1.149,1.10957,1.19157,1.298,0.98386,1.09414,0.94114,0.96157,0.74914,1.19271,1.09871,1.28786,1.25586,1.24157,1.68014,1.15629,1.17529,0.98486,1.11986,1.03214,0.87743,1.02357,0.98414,1.36114,1.16114,1.12029,0.95357,0.85214,1.00614,0.65143,0.71157,0.89014,1.00686,0.94614,0.94771,0.85757,0.89943,0.92086,0.77186,0.75929,1.06286,-1.0,-1.0,-1.0
Austria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.22829,1.26286,1.31,1.19886,1.16386,1.12214,1.39257,1.35057,1.39029,1.23057,1.33514,1.353,1.00471,1.04386,1.01214,1.15957,1.04157,1.02829,0.91514,1.38786,1.30643,1.16614,1.12057,1.22029,1.26314,0.77943,0.811,0.82871,0.80143,0.72229,0.75571,0.81929,0.83343,0.84086,0.895,0.86014,0.80914,0.70929,0.858,0.80057,0.83529,0.84143,0.85357,0.90143,0.71043,0.86771,0.78114,0.87129,0.908,0.92086,0.97943,0.828,0.97471,0.84057,0.87129,0.93757,0.84357,0.959,0.80486,0.9,0.90871,0.96871,0.96614,1.143,1.14714,1.01586,1.87443,1.65386,1.84957,1.58586,1.75157,1.774,0.84214,1.05214,0.898,1.00629,0.83814,0.99757,0.952,0.97943,0.963,1.00514,1.071,0.95214,1.06229,0.97871,0.91343,2.50071,2.41129,2.71171,2.71271,2.70043,2.70471,3.20471,3.16257,-1.0,-1.0,-1.0
