Country,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02543,0.02657,0.028,0.02786,0.02414,0.02214,0.02,0.01857,0.018,0.019,0.02129,0.02271,0.02414,0.025,0.02671,0.02671,0.02657,0.02657,0.02671,0.02771,0.02786,0.02814,0.02829,0.02871,0.02886,0.02857,0.02857,0.02857,0.02843,0.02814,0.02814,0.02786,0.02757,0.02714,0.02671,0.02614,0.02586,0.02571,0.02543,0.02571,0.02586,0.02586,0.02557,0.025,0.02457,0.02386,0.02314,0.02243,0.02186,0.02171,0.02157,0.02129,0.021,0.02086,0.02043,0.01986,0.01943,0.019,0.01857,0.018,0.01743,0.01686,0.01629,0.01571,0.01529,0.015,0.01471,0.01457,0.01443,0.01429,0.01429,0.01443,0.01471,0.01486,-1.0,-1.0,-1.0
Albania,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.023,0.02171,0.02186,0.02229,0.02257,0.02286,0.02571,0.02671,0.02714,0.02786,0.03029,0.03443,0.03571,0.03686,0.04086,0.04429,0.04643,0.04714,0.049,0.04986,0.049,0.04886,0.04843,0.04843,0.04771,0.04743,0.04686,0.04571,0.04514,0.04443,0.04371,0.043,0.04229,0.04186,0.041,0.03986,0.03886,0.03786,0.03686,0.03571,0.03486,0.03414,0.03371,0.03343,0.03343,0.03371,0.03371,0.03386,0.03371,0.03357,0.03314,0.03271,0.03229,0.03186,0.03143,0.03114,0.03086,0.03057,0.03043,0.03014,0.02971,0.02929,0.029,0.02871,0.02829,0.028,0.02786,0.02757,0.02743,0.02729,0.02729,0.02714,0.027,0.02686,0.02643,0.026,0.02557,0.02514,0.02471,0.02443,0.02414,0.024,0.02371,0.02357,0.02329,-1.0,-1.0,-1.0
Algeria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.06814,0.07186,0.07771,0.08129,0.08286,0.08386,0.08057,0.07586,0.06814,0.06186,0.05886,0.057,0.05529,0.054,0.054,0.05729,0.061,0.06714,0.075,0.08371,0.09271,0.09886,0.10614,0.112,0.11714,0.12157,0.12543,0.12929,0.13143,0.13257,0.13257,0.13143,0.12929,0.127,0.12457,0.12243,0.12014,0.11843,0.11643,0.11429,0.112,0.10943,0.10657,0.10357,0.10071,0.098,0.09514,0.09229,0.08971,0.08729,0.085,0.08271,0.08071,0.079,0.07743,0.076,0.07457,0.07329,0.07214,0.07086,0.06971,0.06857,0.06757,0.06657,0.06557,0.06486,0.06414,0.06343,0.06286,0.06229,0.06171,0.06114,0.06071,0.06043,0.06014,0.05986,0.05971,0.05957,0.05943,0.05929,0.05914,0.05929,0.05943,0.05957,-1.0,-1.0,-1.0
Andorra,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00757,0.009,0.01129,0.01514,0.01843,0.02186,0.02557,0.02814,0.03014,0.03129,0.03186,0.03271,0.03371,0.03471,0.03571,0.03643,0.03714,0.038,0.03886,0.03971,0.04071,0.04143,0.04214,0.04286,0.04329,0.04357,0.04371,0.04443,0.045,0.04529,0.04557,0.04614,0.047,0.04714,0.04771,0.04843,0.04929,0.05,0.05057,0.05129,0.05186,0.05229,0.05286,0.05343,0.05386,0.05414,0.05443,0.05471,0.05471,0.05514,0.05557,0.05614,0.05657,0.057,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05743,0.05643,0.05543,0.05443,0.05343,0.05243,0.05143,0.05143,0.05143,-1.0,-1.0,-1.0
Angola,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21743,0.197,0.174,0.15514,0.13443,0.11371,0.10014,0.09471,0.09186,0.09,0.09,0.09,0.09,0.09,0.08686,0.08371,0.08057,0.07743,0.07386,0.07029,0.06986,0.06943,0.06857,0.06729,0.06643,0.06557,0.06471,0.06286,0.06,0.05757,0.05514,0.05257,0.05,0.04843,0.047,0.04557,0.04371,0.042,0.04029,0.03857,0.03786,0.03714,0.03686,0.03657,0.03886,0.04086,0.04314,0.04457,0.04571,0.04914,0.04886,0.04871,0.04857,0.04914,0.04971,0.04729,0.04586,0.04443,0.043,0.04171,0.04071,0.04043,0.04029,0.04,0.03957,0.039,0.03829,-1.0,-1.0,-1.0
Antigua and Barbuda,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08457,0.082,0.07943,0.083,0.088,0.093,0.09914,0.10529,0.11143,0.11071,0.11,0.10929,0.10857,0.10786,0.10714,0.10714,0.10714,0.10714,0.10643,0.10571,0.105,0.10429,0.10357,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10286,0.10214,0.10143,0.10071,0.1,0.09929,0.09857,0.09857,0.09857,0.09857,0.09857,-1.0,-1.0,-1.0
Argentina,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05314,0.04757,0.04429,0.04086,0.03686,0.032,0.02686,0.02414,0.02114,0.01886,0.01757,0.01614,0.01543,0.015,0.01657,0.01843,0.02014,0.02086,0.02214,0.02357,0.02429,0.02486,0.02514,0.02586,0.02686,0.02757,0.02886,0.03057,0.03229,0.03386,0.03529,0.03643,0.03714,0.03757,0.03814,0.03886,0.03914,0.03929,0.03971,0.04014,0.04043,0.04071,0.04114,0.04157,0.04171,0.042,0.04229,0.04229,0.04243,0.04271,0.043,0.04343,0.04386,0.04429,0.04471,0.04486,0.045,0.04471,0.04429,0.04386,0.04314,0.04271,0.04214,0.04157,0.041,0.04057,0.04014,0.03929,0.03843,0.03757,0.03657,0.03529,0.03414,0.03329,0.03243,0.03157,0.03086,0.03029,0.02957,0.02886,0.02814,0.02743,0.02686,0.02643,0.026,0.02557,0.02529,0.02514,-1.0,-1.0,-1.0
Armenia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00443,0.00557,0.00671,0.007,0.00743,0.008,0.00829,0.00814,0.00829,0.00886,0.00943,0.00986,0.01043,0.01114,0.01171,0.01214,0.01257,0.013,0.01329,0.01343,0.01371,0.01371,0.01371,0.01386,0.01414,0.01414,0.014,0.014,0.014,0.01371,0.01343,0.01329,0.01314,0.01314,0.013,0.01286,0.01286,0.01271,0.01257,0.01229,0.01214,0.012,0.01171,0.01157,0.01143,0.01129,0.01114,0.01114,0.01114,0.01114,0.011,0.01086,0.01071,0.01057,0.01043,0.01029,0.01043,0.01071,0.011,0.01129,0.01157,0.012,0.01243,0.01271,0.013,0.01314,0.01329,0.01329,0.01329,0.01329,-1.0,-1.0,-1.0
Australia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.02829,0.02914,0.03014,0.02871,0.02686,0.02543,0.023,0.01914,0.01586,0.013,0.01129,0.00957,0.00871,0.00829,0.00786,0.00743,0.00643,0.00543,0.00457,0.004,0.00357,0.00343,0.00343,0.00343,0.00357,0.00343,0.00357,0.00371,0.00386,0.00414,0.00457,0.00514,0.00557,0.006,0.00657,0.007,0.00743,0.00771,0.008,0.00829,0.00843,0.00857,0.00857,0.00857,0.00857,0.00857,0.00857,0.00871,0.009,0.00929,0.00957,0.00986,0.01029,0.01057,0.01086,0.01114,0.01143,0.01171,0.01186,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,-1.0,-1.0,-1.0
Austria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00171,0.00186,0.002,0.00229,0.00243,0.00286,0.00329,0.00357,0.00414,0.00486,0.00543,0.00614,0.007,0.00814,0.00914,0.01,0.011,0.01186,0.01271,0.01343,0.01414,0.01514,0.01614,0.01729,0.01829,0.01929,0.02029,0.02114,0.02186,0.02243,0.02329,0.024,0.02471,0.02543,0.02629,0.02714,0.02786,0.02857,0.02914,0.02971,0.03014,0.03057,0.031,0.03143,0.03186,0.03214,0.03243,0.03257,0.03271,0.03286,0.033,0.03314,0.03329,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03343,0.03357,0.03371,0.03386,0.034,0.03414,0.03429,0.03429,0.03429,0.03429,0.03429,0.03429,0.03429,0.03429,-1.0,-1.0,-1.0
