Country,avrg
Afghanistan,34
Albania,11
Algeria,76
Andorra,8
Angola,0
Antigua and Barbuda,0
Argentina,88
Armenia,60
Australia,50
Austria,167
Azerbaijan,50
Bahamas,0
Bahrain,113
Bangladesh,180
Barbados,1
Belarus,270
Belgium,141
Belize,0
Benin,2
Bhutan,0
Bolivia,31
Bosnia and Herzegovina,23
Botswana,0
Brazil,4703
Brunei,1
Bulgaria,20
Burkina Faso,9
Burma,2
Burundi,0
Cabo Verde,4
Cambodia,1
Cameroon,61
Canada,472
Central African Republic,0
Chad,10
Chile,1449
China,559
Colombia,190
Comoros,3
Congo (Brazzaville),3
Congo (Kinshasa),7
Costa Rica,8
Cote d'Ivoire,24
Croatia,23
Cuba,23
Cyprus,9
Czechia,80
Denmark,113
Diamond Princess,5
Djibouti,32
Dominica,0
Dominican Republic,153
Ecuador,263
Egypt,97
El Salvador,20
Equatorial Guinea,2
Eritrea,0
Estonia,18
Eswatini,3
Ethiopia,5
Fiji,0
Finland,47
France,594
Gabon,13
Gambia,0
Georgia,7
Germany,1421
Ghana,48
Greece,15
Grenada,0
Guatemala,19
Guinea,42
Guinea-Bissau,2
Guyana,1
Haiti,0
Holy See,0
Honduras,10
Hungary,26
Iceland,19
India,1155
Indonesia,129
Iran,1313
Iraq,65
Ireland,260
Israel,143
Italy,1530
Jamaica,4
Japan,110
Jordan,7
Kazakhstan,106
Kenya,13
"Korea, South",84
Kosovo,11
Kuwait,242
Kyrgyzstan,21
Laos,0
Latvia,8
Lebanon,8
Lesotho,0
Liberia,2
Libya,0
Liechtenstein,0
Lithuania,15
Luxembourg,47
MS Zaandam,0
Madagascar,4
Malawi,0
Malaysia,55
Maldives,14
Mali,13
Malta,6
Mauritania,1
Mauritius,4
Mexico,930
Moldova,68
Monaco,1
Mongolia,1
Montenegro,4
Morocco,83
Mozambique,2
Namibia,0
Nepal,5
Netherlands,2
New Zealand,18
Nicaragua,15
Niger,12
Nigeria,50
North Macedonia,18
Norway,85
Oman,54
Pakistan,374
Panama,137
Papua New Guinea,0
Paraguay,8
Peru,1126
Philippines,40
Poland,152
Portugal,238
Qatar,549
Romania,151
Russia,2085
Rwanda,4
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,5
Sao Tome and Principe,3
Saudi Arabia,829
Senegal,30
Serbia,171
Seychelles,0
Sierra Leone,11
Singapore,212
Slovakia,17
Slovenia,17
Somalia,6
South Africa,393
South Sudan,0
Spain,1274
Sri Lanka,8
Sudan,30
Suriname,0
Sweden,0
Switzerland,284
Syria,0
Taiwan*,3
Tajikistan,122
Tanzania,2
Thailand,21
Timor-Leste,0
Togo,3
Trinidad and Tobago,1
Tunisia,11
Turkey,1858
US,4302
Uganda,1
Ukraine,159
United Arab Emirates,198
United Kingdom,10
Uruguay,10
Uzbekistan,45
Venezuela,5
Vietnam,2
West Bank and Gaza,4
Western Sahara,0
Yemen,0
Zambia,13
Zimbabwe,0
