Country,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.045,0.045,0.045,0.042,0.042,0.025,0.025,0.014,0.024,0.021,0.018,0.018,0.017,0.012,0.029,0.021,0.037,0.036,0.033,0.043,0.049,0.043,0.065,0.066,0.061,0.058,0.053,0.048,0.056,0.055,0.064,0.109,0.12,0.132,0.132,0.137,0.141,0.14,0.139,0.129,0.135,0.129,0.125,0.13,0.12,0.133,0.134,0.128,0.137,0.131,0.135,0.131,0.125,0.124,0.127,0.119,0.123,0.124,0.123,0.123,0.116,0.117,0.113,0.111,0.114,0.108,0.108,0.104,0.102,0.098,0.095,0.091,0.093,0.092,0.09,0.087,0.091,0.088,0.088,0.088,0.093,0.094,0.092,0.104,0.124,0.136
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.022,0.019,0.081,0.116,0.098,0.167,0.157,0.156,0.197,0.214,0.259,0.274,0.293,0.297,0.288,0.308,0.342,0.385,0.403,0.438,0.455,0.487,0.497,0.522,0.508,0.535,0.525,0.551,0.559,0.56,0.567,0.562,0.581,0.581,0.566,0.565,0.573,0.575,0.594,0.608,0.624,0.658,0.668,0.676,0.695,0.715,0.719,0.729,0.732,0.749,0.75,0.779,0.782,0.773,0.77,0.765,0.756,0.767,0.782,0.786,0.796,0.792,0.792,0.791,0.792,0.78,0.773,0.765,0.774,0.764,0.767,0.767,0.765,0.758,0.75,0.751,0.751,0.753,0.748,0.739,0.731
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.308,0.324,0.25,0.222,0.2,0.162,0.368,0.356,0.23,0.323,0.283,0.091,0.215,0.079,0.071,0.068,0.061,0.063,0.064,0.072,0.062,0.053,0.072,0.068,0.063,0.077,0.151,0.208,0.23,0.252,0.309,0.303,0.334,0.328,0.345,0.35,0.353,0.398,0.404,0.41,0.414,0.451,0.45,0.454,0.446,0.443,0.452,0.442,0.444,0.438,0.436,0.433,0.43,0.427,0.44,0.448,0.459,0.458,0.468,0.482,0.494,0.489,0.49,0.493,0.5,0.5,0.503,0.508,0.526,0.526,0.538,0.546,0.576,0.558,0.565,0.579,0.587,0.594,0.599,0.612,0.62,0.63,0.639,0.641,0.65,0.66,0.662,0.662,0.67,0.675
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.026,0.026,0.019,0.013,0.011,0.009,0.008,0.006,0.005,0.004,0.004,0.003,0.003,0.027,0.027,0.026,0.023,0.036,0.045,0.052,0.059,0.072,0.092,0.099,0.118,0.118,0.201,0.198,0.194,0.251,0.251,0.274,0.291,0.33,0.346,0.393,0.427,0.461,0.471,0.466,0.466,0.518,0.536,0.569,0.628,0.628,0.632,0.659,0.665,0.684,0.694,0.699,0.714,0.723,0.728,0.728,0.749,0.758,0.783,0.794,0.808,0.811,0.82,0.825,0.839,0.839,0.856,0.857,0.857,0.869,0.886,0.886,0.893,0.895,0.906,0.908,0.912,0.868,0.864,0.866,0.87,0.87,0.873,0.881,0.888,0.891
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.125,0.125,0.125,0.2,0.143,0.125,0.118,0.105,0.105,0.105,0.211,0.211,0.211,0.263,0.263,0.263,0.263,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.231,0.222,0.222,0.259,0.259,0.367,0.314,0.314,0.314,0.306,0.306,0.306,0.256,0.302,0.289,0.289,0.289,0.311,0.292,0.354,0.354,0.354,0.34,0.327,0.327,0.293,0.283,0.295,0.261,0.257,0.257,0.254,0.243,0.222,0.214,0.209,0.209,0.209,0.209,0.209,0.244,0.273,0.264,0.413,0.396,0.354
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.304,0.417,0.417,0.458,0.458,0.458,0.458,0.458,0.458,0.458,0.6,0.6,0.6,0.6,0.64,0.64,0.64,0.64,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.731,0.731,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769,0.769
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.022,0.018,0.044,0.038,0.031,0.023,0.019,0.011,0.01,0.134,0.134,0.125,0.122,0.104,0.097,0.278,0.228,0.235,0.226,0.21,0.192,0.193,0.209,0.208,0.209,0.203,0.19,0.223,0.218,0.233,0.245,0.244,0.245,0.25,0.248,0.25,0.251,0.277,0.277,0.268,0.271,0.272,0.284,0.285,0.282,0.278,0.284,0.285,0.282,0.283,0.295,0.293,0.293,0.298,0.296,0.299,0.291,0.293,0.284,0.329,0.334,0.334,0.325,0.318,0.314,0.326,0.316,0.305,0.288,0.311,0.309,0.317,0.315,0.312,0.314,0.311,0.295,0.317,0.317,0.312,0.306,0.297,0.289,0.281,0.303,0.309,0.306,0.307
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.012,0.009,0.007,0.006,0.01,0.009,0.056,0.06,0.062,0.085,0.074,0.071,0.062,0.056,0.054,0.05,0.058,0.056,0.069,0.074,0.102,0.129,0.15,0.159,0.179,0.194,0.203,0.248,0.267,0.309,0.335,0.419,0.422,0.433,0.435,0.43,0.433,0.456,0.479,0.477,0.469,0.464,0.466,0.45,0.455,0.444,0.434,0.427,0.424,0.408,0.411,0.402,0.399,0.4,0.401,0.404,0.403,0.407,0.412,0.418,0.43,0.419,0.429,0.459,0.46,0.485,0.466,0.46,0.442,0.435,0.419,0.4,0.38,0.372,0.365,0.358,0.342,0.328,0.309,0.297,0.301,0.306,0.308,0.325,0.371
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.167,0.167,0.167,0.154,0.154,0.143,0.133,0.133,0.133,0.133,0.133,0.133,0.533,0.533,0.533,0.533,0.667,0.667,0.667,0.667,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.44,0.407,0.367,0.282,0.212,0.382,0.35,0.333,0.276,0.231,0.196,0.164,0.164,0.115,0.092,0.077,0.061,0.051,0.04,0.038,0.033,0.024,0.057,0.052,0.056,0.05,0.061,0.062,0.067,0.061,0.059,0.079,0.087,0.102,0.122,0.126,0.133,0.186,0.183,0.18,0.241,0.288,0.287,0.286,0.284,0.341,0.339,0.364,0.584,0.628,0.624,0.648,0.707,0.741,0.758,0.769,0.803,0.825,0.831,0.84,0.846,0.849,0.852,0.855,0.857,0.86,0.869,0.875,0.879,0.885,0.885,0.888,0.891,0.898,0.901,0.902,0.904,0.903,0.906,0.907,0.909,0.914,0.913,0.914,0.915,0.918,0.919,0.919,0.92,0.918,0.919,0.92,0.919,0.918,0.918,0.918,0.922,0.922,0.923,0.923,0.925,0.927,0.928
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.022,0.016,0.013,0.012,0.009,0.007,0.006,0.001,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.016,0.029,0.027,0.055,0.066,0.108,0.134,0.157,0.175,0.213,0.249,0.282,0.32,0.349,0.396,0.447,0.478,0.501,0.523,0.537,0.565,0.621,0.665,0.696,0.712,0.719,0.738,0.759,0.779,0.788,0.799,0.807,0.809,0.819,0.83,0.835,0.844,0.847,0.848,0.852,0.86,0.87,0.87,0.877,0.88,0.882,0.885,0.886,0.894,0.897,0.898,0.896,0.897,0.898,0.899,0.91,0.911,0.913,0.912,0.913,0.915,0.917,0.918,0.919,0.921,0.93,0.932,0.932,0.933,0.934,0.935,0.935,0.934,0.934,0.933,0.935,0.936
